Emotion,Definition;
admiration,a feeling of respect for and approval of somebody/something.;
amusement,the feeling that you have when you enjoy something that is funny or entertaining.;
anger,the strong feeling that you have when something has happened that you think is bad and unfair.;
annoyance,the feeling of being slightly angry.;
approval,the feeling that somebody/something is good or acceptable; a positive opinion of somebody/something.
caring,a feeling of interest and compassion for others.;
"confusion,""a state of not being certain about what is happening, what you should do, what something means, etc.""";
curiosity,a strong desire to know about something.;
desire,a strong wish to have or do something.;
"disappointment,""the feeling of being sad because something has not happened or been as good, successful, etc. as you expected or hoped.""";
"disapproval,""a feeling that you do not like an idea, an action or somebody's behaviour because you think it is bad, not suitable or going to have a bad effect on somebody.""";
"disgust,""a strong feeling of dislike for somebody/something that you feel is unacceptable, or for something that looks, smells, etc. unpleasant.""";
"embarrassment,""shy, awkward or guilty feelings";" a feeling of being embarrassed."""
excitement,the state of feeling or showing happiness and enthusiasm.;
fear,the bad feeling that you have when you are in danger or when something bad might happen or when a particular thing frightens you.;
gratitude,the feeling of being grateful and wanting to express your thanks.;
"grief,""a very sad feeling, especially when somebody dies.""";
joy,a feeling of great happiness.;
"love,""a strong feeling of deep affection for someone or something, especially a member of your family or a friend.""";
nervousness,the feeling of being anxious about something or afraid of something.;
optimism,a feeling that good things will happen and that something will be successful.;
pride,a feeling of deep pleasure or satisfaction derived from one's own achievements, the achievements of those with whom one is closely associated, or from qualities or possessions that are widely admired.;
realization,an act of becoming fully aware of something as a fact;
relief,a feeling of reassurance and relaxation following release from anxiety or distress.;
remorse, deep regret or guilt for a wrong committed;
sadness, the condition or quality of being sad;
surprise, Sadness is an emotional pain associated with, or characterized by, feelings of disadvantage, loss, despair, grief, helplessness, disappointment and sorrow;
neutral,means to be impartial or unbiased;
